created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2025-10-07 23:52:11+03:00,0,BG,Planned maintenance,A03,,2026-01-01 00:00:00+02:00,Dy7x-u2rTDKaGjRGluVkBA,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP4,1,MAW,PT1M,2,2023-12-22 13:41:00+02:00
2025-10-07 23:52:28+03:00,0,BG,Planned maintenance,A03,,2026-01-01 00:00:00+02:00,Uorz63CRVwPTfOxHR5dMYA,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP1,1,MAW,PT1M,4,2025-01-08 14:00:00+02:00
2025-11-10 16:58:26+02:00,0,BG,Planned maintenance,A03,,2026-05-09 00:00:00+03:00,hW4lqxF2yB4g_UDQ-3t-Uw,343.0,Fossil Brown coal/Lignite,32W001100100294W,locName,AES_MI1,TPP_GALABOVO_G2,1,MAW,PT1M,1,2026-04-19 00:00:00+03:00
2025-11-30 16:06:40+02:00,0,BG,Planned maintenance,A03,,2025-12-31 23:59:00+02:00,JazPtgUUN5cqJ3bKdp7dSA,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G1,1,MAW,PT1M,8,2025-11-10 21:31:00+02:00
2025-12-01 07:22:52+02:00,0,BG,Planned maintenance,A03,,2025-12-01 07:30:00+02:00,4TTUDAu5dUEXS7f09RwBZQ,218.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G7,1,MAW,PT1M,5,2025-09-15 23:18:00+03:00
2025-12-01 17:36:40+02:00,0,BG,Planned maintenance,A03,,2025-12-01 17:21:00+02:00,H6SQsqmSWcWOP7fRN1IRZQ,1040.0,Nuclear,32W001100100217D,Kozloduy,NPP_KOZLODUY,NPP KZL G10,1,MAW,PT1M,10,2025-10-25 03:02:00+03:00
2025-12-01 19:46:04+02:00,0,BG,Unplanned outage,A03,,2025-12-01 15:00:00+02:00,wJZPM1PeNig053fMDShrjg,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G1,1,MAW,PT1M,5,2025-11-19 15:37:00+02:00
2025-12-01 20:01:00+02:00,0,BG,Unplanned outage,A03,,2025-12-02 19:24:00+02:00,vChGPFH6EJL1N_TykwltJg,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G3,1,MAW,PT1M,1,2025-12-01 19:24:00+02:00
2025-12-03 05:06:48+02:00,0,BG,Planned maintenance,A03,,2025-12-03 05:15:00+02:00,HKKf8_P3hcVC7VLxiNXpgg,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G8,1,MAW,PT1M,3,2025-11-19 21:45:00+02:00
2025-12-11 14:22:36+02:00,79.65,BG,Planned maintenance,A03,,2025-12-11 14:15:00+02:00,OySh9S74aYjQCEgctMpDyA,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G4,1,MAW,PT1M,2,2025-12-04 17:05:00+02:00
2025-12-11 15:22:14+02:00,77.88,BG,Planned maintenance,A03,,2025-12-12 23:15:00+02:00,CYWySrFPjBJWUmhnGPb4rg,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G4,1,MAW,PT1M,1,2025-12-11 15:15:00+02:00
2025-12-14 15:45:38+02:00,0,BG,Unplanned outage,A03,,2025-12-14 15:31:00+02:00,gM-RS3nekEJRIViipw0iwg,343.0,Fossil Brown coal/Lignite,32W001100100294W,locName,AES_MI1,TPP_GALABOVO_G2,1,MAW,PT1M,1,2025-12-14 14:00:00+02:00
2025-12-15 10:15:56+02:00,0,BG,Unplanned outage,A03,,2025-12-15 09:30:00+02:00,jrJZlwn75mzjbdWlpBkKYA,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G3,1,MAW,PT1M,4,2025-12-02 19:25:00+02:00
2025-12-15 15:06:55+02:00,77.88,BG,Planned maintenance,A03,,2025-12-15 15:10:00+02:00,KdEqs9ujAQa9IEiSFvcH7g,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G4,1,MAW,PT1M,2,2025-12-12 23:15:00+02:00
