delivery_date,Product,Weighted Average Price (EUR/MWh),Max Price (EUR/MWh),Min Price (EUR/MWh),Last Price (EUR/MWh),Volume (MW)
2026-02-10,QH-260210-01,10749,11810,4124,10309,13510
2026-02-10,QH-260210-02,10700,12031,10200,10965,10910
2026-02-10,QH-260210-03,10949,12100,9997,11032,24540
2026-02-10,QH-260210-04,10770,12472,9159,10800,24770
2026-02-10,QH-260210-05,10720,11775,10327,10595,16890
2026-02-10,QH-260210-06,10732,11438,6686,10619,23400
2026-02-10,QH-260210-07,10700,11310,10232,10902,26940
2026-02-10,QH-260210-08,10980,11775,10001,11611,20570
2026-02-10,QH-260210-09,10914,11593,10370,11388,17330
2026-02-10,QH-260210-10,10808,11685,10087,10771,21050
2026-02-10,QH-260210-11,10867,11831,10474,10900,15360
2026-02-10,QH-260210-12,10836,11579,9841,11080,20630
2026-02-10,QH-260210-13,11132,11776,10468,10513,25860
2026-02-10,QH-260210-14,10818,11293,10395,10600,20360
2026-02-10,QH-260210-15,10918,11370,10496,11351,17780
2026-02-10,QH-260210-16,10923,11749,10480,11531,28880
2026-02-10,QH-260210-17,10956,11807,10491,10735,11710
2026-02-10,QH-260210-18,11010,11898,10466,11898,12640
2026-02-10,QH-260210-19,11191,12100,10527,12100,20220
2026-02-10,QH-260210-20,11629,12499,10394,11819,26670
2026-02-10,QH-260210-21,10578,11878,4802,11877,13820
2026-02-10,QH-260210-22,10937,12100,8491,12100,12760
2026-02-10,QH-260210-23,11698,12477,10832,11020,16190
2026-02-10,QH-260210-24,12211,13343,11180,12931,17690
2026-02-10,QH-260210-25,11632,11935,9084,11777,11950
2026-02-10,QH-260210-26,12993,15189,4114,4114,11980
2026-02-10,QH-260210-27,17084,22958,12728,15958,7810
2026-02-10,QH-260210-28,16387,25872,13890,15100,11260
2026-02-10,QH-260210-29,14645,17856,11610,15896,21440
2026-02-10,QH-260210-30,15364,20874,14188,20874,18910
2026-02-10,QH-260210-31,16613,20874,13976,17134,16500
2026-02-10,QH-260210-32,16960,24863,14114,24863,14630
