timestamp,temperature_2m,wind_speed_10m,wind_speed_100m,wind_direction_100m,shortwave_radiation,direct_normal_irradiance,cloud_cover,precipitation,relative_humidity_2m,source
2026-02-01 00:00:00,4.2,7.9,12.3,85,0.0,0.0,100,0.0,76,archive_era5
2026-02-01 01:00:00,3.7,11.3,16.7,79,0.0,0.0,100,0.0,74,archive_era5
2026-02-01 02:00:00,3.1,11.0,16.2,67,0.0,0.0,100,0.0,74,archive_era5
2026-02-01 03:00:00,3.0,11.3,17.1,60,0.0,0.0,100,0.0,73,archive_era5
2026-02-01 04:00:00,2.7,11.6,18.0,53,0.0,0.0,100,0.0,72,archive_era5
2026-02-01 05:00:00,2.3,10.9,17.4,59,0.0,0.0,100,0.0,72,archive_era5
2026-02-01 06:00:00,2.0,14.3,21.7,60,0.0,0.0,100,0.0,74,archive_era5
2026-02-01 07:00:00,1.4,14.9,23.1,59,0.0,0.0,100,0.0,77,archive_era5
2026-02-01 08:00:00,1.0,14.7,22.4,57,0.0,0.0,100,0.0,78,archive_era5
2026-02-01 09:00:00,1.5,17.1,25.5,59,3.0,0.0,100,0.0,83,archive_era5
2026-02-01 10:00:00,1.5,20.2,29.8,59,26.0,0.0,100,0.0,84,archive_era5
2026-02-01 11:00:00,1.4,19.9,29.4,49,44.0,0.0,100,0.0,83,archive_era5
2026-02-01 12:00:00,1.3,21.0,30.9,52,70.0,0.0,100,0.0,82,archive_era5
2026-02-01 13:00:00,1.5,24.5,35.3,57,77.0,0.0,100,0.0,81,archive_era5
2026-02-01 14:00:00,1.6,23.9,34.8,55,68.0,0.0,100,0.1,81,archive_era5
2026-02-01 15:00:00,1.7,23.6,34.3,54,63.0,0.0,100,0.2,83,archive_era5
2026-02-01 16:00:00,1.1,25.5,37.5,49,31.0,0.0,100,0.6,86,archive_era5
2026-02-01 17:00:00,1.0,25.1,36.1,55,68.0,0.0,100,0.4,83,archive_era5
2026-02-01 18:00:00,0.5,23.5,37.4,52,6.0,0.0,100,0.3,86,archive_era5
2026-02-01 19:00:00,1.0,26.4,43.0,58,1.0,0.0,100,0.4,85,archive_era5
2026-02-01 20:00:00,1.2,24.1,39.7,55,0.0,0.0,100,0.5,87,archive_era5
2026-02-01 21:00:00,1.9,24.6,39.8,61,0.0,0.0,100,0.7,90,archive_era5
2026-02-01 22:00:00,1.7,21.2,35.2,59,0.0,0.0,100,1.0,96,archive_era5
2026-02-01 23:00:00,1.6,22.5,36.8,54,0.0,0.0,100,1.0,96,archive_era5
2026-02-02 00:00:00,1.6,21.3,35.7,40,0.0,0.0,100,0.2,95,archive_era5
2026-02-02 01:00:00,0.9,20.6,34.2,31,0.0,0.0,100,0.3,94,archive_era5
2026-02-02 02:00:00,-0.1,20.3,32.6,17,0.0,0.0,100,0.2,90,archive_era5
2026-02-02 03:00:00,-1.0,23.8,38.1,23,0.0,0.0,97,0.0,86,archive_era5
2026-02-02 04:00:00,-1.6,21.8,37.0,17,0.0,0.0,98,0.0,84,archive_era5
2026-02-02 05:00:00,-1.9,23.1,38.7,13,0.0,0.0,100,0.0,81,archive_era5
2026-02-02 06:00:00,-1.6,22.9,37.4,12,0.0,0.0,100,0.0,78,archive_era5
2026-02-02 07:00:00,-1.6,23.2,39.1,13,0.0,0.0,100,0.0,77,archive_era5
2026-02-02 08:00:00,-1.9,18.4,31.1,6,0.0,0.0,100,0.0,76,archive_era5
2026-02-02 09:00:00,-2.5,14.8,24.1,360,4.0,0.0,100,0.0,77,archive_era5
2026-02-02 10:00:00,-2.8,13.0,21.5,351,29.0,0.0,100,0.0,77,archive_era5
2026-02-02 11:00:00,-3.3,13.7,22.2,345,52.0,0.0,100,0.1,78,archive_era5
2026-02-02 12:00:00,-2.9,13.0,20.1,342,108.0,2.4,100,0.1,75,archive_era5
2026-02-02 13:00:00,-3.0,11.8,18.1,337,94.0,0.0,100,0.2,74,archive_era5
2026-02-02 14:00:00,-2.8,11.4,17.4,339,124.0,0.0,100,0.2,73,archive_era5
2026-02-02 15:00:00,-3.3,15.0,22.5,340,156.0,6.3,100,0.1,80,archive_era5
2026-02-02 16:00:00,-3.6,13.8,22.1,347,93.0,0.0,100,0.1,79,archive_era5
2026-02-02 17:00:00,-3.8,12.0,20.0,349,65.0,0.0,100,0.1,80,archive_era5
2026-02-02 18:00:00,-3.9,9.3,15.7,340,35.0,0.0,100,0.1,79,archive_era5
2026-02-02 19:00:00,-4.1,9.1,15.4,339,2.0,0.0,100,0.0,79,archive_era5
2026-02-02 20:00:00,-4.2,8.3,13.6,326,0.0,0.0,100,0.0,79,archive_era5
2026-02-02 21:00:00,-3.5,9.3,14.2,336,0.0,0.0,100,0.0,80,archive_era5
2026-02-02 22:00:00,-4.0,7.7,13.5,344,0.0,0.0,100,0.0,80,archive_era5
2026-02-02 23:00:00,-4.1,6.8,12.1,345,0.0,0.0,39,0.0,80,archive_era5
2026-02-03 00:00:00,-4.9,4.6,11.9,350,0.0,0.0,29,0.0,82,archive_era5
2026-02-03 01:00:00,-6.2,4.0,10.8,1,0.0,0.0,57,0.0,81,archive_era5
2026-02-03 02:00:00,-5.4,3.8,9.7,3,0.0,0.0,92,0.0,80,archive_era5
2026-02-03 03:00:00,-4.4,5.4,8.5,353,0.0,0.0,100,0.0,73,archive_era5
2026-02-03 04:00:00,-4.2,4.0,5.8,356,0.0,0.0,100,0.0,72,archive_era5
2026-02-03 05:00:00,-4.2,4.5,6.3,360,0.0,0.0,100,0.0,71,archive_era5
2026-02-03 06:00:00,-4.2,3.6,5.2,2,0.0,0.0,100,0.0,70,archive_era5
2026-02-03 07:00:00,-4.0,2.5,3.6,360,0.0,0.0,88,0.0,69,archive_era5
2026-02-03 08:00:00,-4.0,1.8,2.6,12,0.0,0.0,100,0.0,68,archive_era5
2026-02-03 09:00:00,-3.6,0.7,1.2,63,12.0,30.5,91,0.0,71,archive_era5
2026-02-03 10:00:00,-3.2,1.5,1.5,126,94.0,107.9,48,0.0,73,archive_era5
2026-02-03 11:00:00,-2.2,1.8,2.3,148,225.0,278.9,16,0.0,73,archive_era5
2026-02-03 12:00:00,-1.1,1.7,2.2,171,381.0,526.5,52,0.0,73,archive_era5
2026-02-03 13:00:00,-0.1,3.7,4.9,170,454.0,559.4,71,0.0,75,archive_era5
2026-02-03 14:00:00,0.9,2.3,5.1,184,487.0,612.4,43,0.0,79,archive_era5
2026-02-03 15:00:00,2.5,7.1,9.2,222,439.0,584.5,90,0.0,74,archive_era5
