timestamp,temperature_2m,wind_speed_10m,wind_speed_100m,wind_direction_100m,shortwave_radiation,direct_normal_irradiance,cloud_cover,precipitation,relative_humidity_2m,source
2026-02-01 00:00:00,-0.1,6.2,11.4,16,0.0,0.0,100,0.0,79,archive_era5
2026-02-01 01:00:00,0.2,7.5,11.4,31,0.0,0.0,99,0.0,76,archive_era5
2026-02-01 02:00:00,-0.6,5.1,10.8,38,0.0,0.0,53,0.0,81,archive_era5
2026-02-01 03:00:00,-0.9,8.5,15.4,33,0.0,0.0,95,0.0,81,archive_era5
2026-02-01 04:00:00,-1.2,10.8,18.6,36,0.0,0.0,73,0.0,81,archive_era5
2026-02-01 05:00:00,-1.7,12.0,20.0,33,0.0,0.0,84,0.0,80,archive_era5
2026-02-01 06:00:00,-1.9,11.3,18.6,36,0.0,0.0,99,0.0,79,archive_era5
2026-02-01 07:00:00,-2.0,11.9,17.9,32,0.0,0.0,100,0.0,78,archive_era5
2026-02-01 08:00:00,-2.4,13.6,20.6,33,0.0,0.0,100,0.0,77,archive_era5
2026-02-01 09:00:00,-1.8,14.0,20.5,35,6.0,0.0,100,0.0,79,archive_era5
2026-02-01 10:00:00,-1.8,16.2,23.6,39,43.0,11.9,100,0.0,78,archive_era5
2026-02-01 11:00:00,-1.5,16.2,23.0,40,94.0,13.0,100,0.0,78,archive_era5
2026-02-01 12:00:00,-0.9,19.0,26.9,46,144.0,9.7,100,0.0,77,archive_era5
2026-02-01 13:00:00,-0.6,19.2,26.9,55,151.0,14.7,100,0.0,79,archive_era5
2026-02-01 14:00:00,-0.6,20.7,29.3,51,141.0,32.4,100,0.0,80,archive_era5
2026-02-01 15:00:00,-1.4,21.7,31.6,39,116.0,0.0,100,0.0,81,archive_era5
2026-02-01 16:00:00,-1.5,21.6,31.5,38,80.0,0.0,100,0.0,80,archive_era5
2026-02-01 17:00:00,-2.0,24.2,36.4,39,43.0,3.7,100,0.2,82,archive_era5
2026-02-01 18:00:00,-2.1,25.5,37.7,42,28.0,0.0,100,0.2,83,archive_era5
2026-02-01 19:00:00,-2.1,26.0,38.4,44,1.0,0.0,100,0.4,85,archive_era5
2026-02-01 20:00:00,-1.9,28.6,41.7,41,0.0,0.0,100,0.4,86,archive_era5
2026-02-01 21:00:00,-0.4,27.6,43.0,44,0.0,0.0,100,0.7,85,archive_era5
2026-02-01 22:00:00,0.0,27.4,43.5,40,0.0,0.0,100,0.3,85,archive_era5
2026-02-01 23:00:00,-0.2,21.2,33.5,36,0.0,0.0,100,0.5,87,archive_era5
2026-02-02 00:00:00,-0.8,21.5,34.0,27,0.0,0.0,100,1.2,89,archive_era5
2026-02-02 01:00:00,-2.2,23.0,36.0,15,0.0,0.0,100,0.7,86,archive_era5
2026-02-02 02:00:00,-3.6,25.0,38.8,11,0.0,0.0,100,0.1,83,archive_era5
2026-02-02 03:00:00,-3.8,28.3,45.6,13,0.0,0.0,100,0.0,84,archive_era5
2026-02-02 04:00:00,-3.8,27.1,44.0,11,0.0,0.0,100,0.0,83,archive_era5
2026-02-02 05:00:00,-4.1,26.0,42.4,5,0.0,0.0,100,0.0,82,archive_era5
2026-02-02 06:00:00,-3.7,27.8,48.0,11,0.0,0.0,100,0.2,83,archive_era5
2026-02-02 07:00:00,-3.7,27.1,43.9,8,0.0,0.0,100,0.6,85,archive_era5
2026-02-02 08:00:00,-4.3,27.6,46.9,4,0.0,0.0,100,0.6,85,archive_era5
2026-02-02 09:00:00,-4.6,24.2,40.3,1,2.0,0.0,100,0.2,83,archive_era5
2026-02-02 10:00:00,-5.1,20.4,33.4,351,36.0,0.0,100,0.1,83,archive_era5
2026-02-02 11:00:00,-5.4,20.2,32.9,343,53.0,0.0,100,0.2,83,archive_era5
2026-02-02 12:00:00,-5.3,19.3,31.8,345,89.0,0.0,100,0.2,82,archive_era5
2026-02-02 13:00:00,-5.3,17.5,28.1,341,117.0,0.0,100,0.3,81,archive_era5
2026-02-02 14:00:00,-5.4,16.6,26.5,339,115.0,0.0,100,0.4,82,archive_era5
2026-02-02 15:00:00,-5.2,16.4,24.8,337,157.0,4.3,100,0.3,80,archive_era5
2026-02-02 16:00:00,-5.2,16.3,25.2,335,132.0,0.0,100,0.1,79,archive_era5
2026-02-02 17:00:00,-5.6,15.8,24.6,335,80.0,0.0,100,0.1,80,archive_era5
2026-02-02 18:00:00,-5.7,13.5,21.9,337,31.0,0.0,100,0.1,80,archive_era5
2026-02-02 19:00:00,-5.8,12.0,19.6,328,1.0,0.0,100,0.1,80,archive_era5
2026-02-02 20:00:00,-5.7,10.8,18.0,322,0.0,0.0,100,0.1,79,archive_era5
2026-02-02 21:00:00,-5.3,10.3,16.1,324,0.0,0.0,100,0.1,79,archive_era5
2026-02-02 22:00:00,-5.3,10.3,16.4,318,0.0,0.0,100,0.0,79,archive_era5
2026-02-02 23:00:00,-5.3,9.8,15.9,323,0.0,0.0,99,0.0,78,archive_era5
2026-02-03 00:00:00,-5.3,8.7,15.9,328,0.0,0.0,100,0.0,76,archive_era5
2026-02-03 01:00:00,-5.2,7.8,13.7,330,0.0,0.0,100,0.0,76,archive_era5
2026-02-03 02:00:00,-5.0,6.9,11.8,329,0.0,0.0,100,0.0,76,archive_era5
2026-02-03 03:00:00,-4.9,6.7,12.7,331,0.0,0.0,85,0.0,75,archive_era5
2026-02-03 04:00:00,-5.4,5.1,12.7,331,0.0,0.0,51,0.0,76,archive_era5
2026-02-03 05:00:00,-6.7,5.1,13.3,332,0.0,0.0,17,0.0,78,archive_era5
2026-02-03 06:00:00,-7.4,5.1,12.7,331,0.0,0.0,3,0.0,79,archive_era5
2026-02-03 07:00:00,-8.1,4.7,10.9,331,0.0,0.0,1,0.0,80,archive_era5
2026-02-03 08:00:00,-8.4,4.6,9.3,323,0.0,0.0,0,0.0,81,archive_era5
2026-02-03 09:00:00,-7.4,4.4,7.3,310,15.0,76.4,0,0.0,85,archive_era5
2026-02-03 10:00:00,-6.2,3.2,5.6,320,139.0,462.1,0,0.0,78,archive_era5
2026-02-03 11:00:00,-3.8,0.6,1.9,338,297.0,661.8,0,0.0,66,archive_era5
2026-02-03 12:00:00,-2.4,2.0,2.8,140,427.0,766.1,0,0.0,55,archive_era5
2026-02-03 13:00:00,-1.7,3.6,5.1,144,506.0,803.3,26,0.0,57,archive_era5
2026-02-03 14:00:00,-1.1,4.3,6.0,143,507.0,711.6,40,0.0,62,archive_era5
2026-02-03 15:00:00,-0.4,6.1,7.5,153,482.0,756.6,6,0.0,67,archive_era5
2026-02-03 16:00:00,-0.9,6.2,9.6,143,386.0,701.2,0,0.0,75,archive_era5
2026-02-03 17:00:00,-1.1,7.2,12.2,144,254.0,616.5,12,0.0,81,archive_era5
2026-02-03 18:00:00,-2.5,5.3,13.0,134,95.0,365.1,38,0.0,85,archive_era5
2026-02-03 19:00:00,-2.3,5.7,13.6,134,3.0,23.0,31,0.0,86,archive_era5
2026-02-03 20:00:00,-1.9,5.7,14.8,156,0.0,0.0,43,0.0,86,archive_era5
2026-02-03 21:00:00,1.4,7.6,16.3,174,0.0,0.0,100,0.0,89,archive_era5
2026-02-03 22:00:00,1.4,6.8,16.9,178,0.0,0.0,100,0.0,88,archive_era5
2026-02-03 23:00:00,2.0,7.5,17.9,183,0.0,0.0,98,0.0,87,archive_era5
2026-02-04 00:00:00,2.2,8.5,18.9,179,0.0,0.0,99,0.0,89,archive_era5
2026-02-04 01:00:00,2.3,6.3,16.4,178,0.0,0.0,93,0.0,89,archive_era5
2026-02-04 02:00:00,1.6,6.3,16.9,180,0.0,0.0,84,0.0,88,archive_era5
2026-02-04 03:00:00,2.7,6.7,18.0,181,0.0,0.0,100,0.0,87,archive_era5
2026-02-04 04:00:00,3.0,7.6,19.6,181,0.0,0.0,99,0.0,88,archive_era5
2026-02-04 05:00:00,3.2,8.1,20.3,182,0.0,0.0,100,0.0,89,archive_era5
2026-02-04 06:00:00,3.3,9.7,22.6,174,0.0,0.0,100,0.0,91,archive_era5
2026-02-04 07:00:00,3.5,10.8,24.1,173,0.0,0.0,100,0.0,92,archive_era5
2026-02-04 08:00:00,3.5,11.7,25.2,174,0.0,0.0,100,0.0,93,archive_era5
2026-02-04 09:00:00,4.0,13.2,25.6,173,7.0,0.0,100,0.0,94,archive_era5
2026-02-04 10:00:00,4.6,14.8,26.3,173,48.0,0.0,100,0.0,93,archive_era5
2026-02-04 11:00:00,5.2,15.3,26.3,170,92.0,6.3,100,0.0,92,archive_era5
2026-02-04 12:00:00,5.8,17.1,27.9,166,130.0,9.4,100,0.0,91,archive_era5
2026-02-04 13:00:00,6.2,17.7,29.2,164,161.0,16.3,100,0.0,89,archive_era5
2026-02-04 14:00:00,6.4,17.8,27.0,162,163.0,7.9,100,0.0,90,archive_era5
2026-02-04 15:00:00,5.9,16.4,27.2,163,127.0,20.9,100,0.0,94,archive_era5
2026-02-04 16:00:00,5.9,16.6,27.1,162,96.0,7.5,100,0.0,95,archive_era5
2026-02-04 17:00:00,5.8,15.0,25.6,159,53.0,0.0,100,0.0,96,archive_era5
2026-02-04 18:00:00,5.6,13.5,24.4,157,19.0,0.0,100,0.0,97,archive_era5
2026-02-04 19:00:00,5.4,13.0,24.1,151,2.0,0.0,100,0.0,98,archive_era5
2026-02-04 20:00:00,5.5,13.2,24.6,148,0.0,0.0,100,0.0,97,archive_era5
2026-02-04 21:00:00,5.7,11.0,23.5,156,0.0,0.0,100,0.0,96,archive_era5
2026-02-04 22:00:00,5.7,11.9,24.1,155,0.0,0.0,100,0.0,96,archive_era5
2026-02-04 23:00:00,5.7,12.2,24.3,152,0.0,0.0,100,0.0,97,archive_era5
2026-02-05 00:00:00,5.8,12.3,23.9,152,0.0,0.0,100,0.0,98,archive_era5
2026-02-05 01:00:00,5.6,10.9,22.3,150,0.0,0.0,100,0.0,98,archive_era5
